cleaned_data,,,,,,,,,,,,,
Response ID,Job Experience,Time Spent Remote,Company encouraged remote work,WFH collaboration ease,WFH personal recommendation,WFH time preference,In person - commute time ,In person - time working,In person - family time,Remote - commute time,WFH - working,WFH - family time,WFH - domestic work time
114,Between 1 and 5 years,10,1,3,5,50,1,8,3,0,9,3,2
115,More than 5 years,50,4,5,5,100,3,9,3,0.5,9,3,2
116,Between 1 and 5 years,60,4,5,5,60,3,8,2,1,8,4,1
118,More than 5 years,10,2,4,3,40,2,7,4,0.5,7,6,1
119,More than 5 years,20,5,5,4,40,0.1,8,8,0.1,8,8,7.9
120,More than 5 years,50,5,4,5,90,2,6,6,0,9,6,2
121,More than 5 years,10,3,3,4,90,2,8,4,1,8,4,1
122,More than 5 years,5,3,3,4,20,0.5,7.5,4,0.5,8,3,2.5
123,More than 5 years,5,1,4,3,50,2,8.5,3,0.5,10,3,1.5
124,More than 5 years,30,4,4,4,30,1,10,3,1,10,4,2
126,Between 1 and 5 years,60,4,5,4,70,2,8,3,0.5,8,4,3
127,More than 5 years,5,5,5,5,5,0.2,3,4,0.2,3,5,5
128,Between 1 and 5 years,5,3,3,3,50,3,9,2,0,9,2,3
129,More than 5 years,50,4,4,5,90,2,8,3,0,8,5,4
130,Between 1 and 5 years,90,5,5,5,80,1.5,4,2,0.2,4,4,5
131,Between 1 and 5 years,90,5,4,4,50,2,7,13,0.5,8,12.5,3
132,More than 5 years,30,4,5,4,50,1,7.5,3,1,7.5,5,3
133,More than 5 years,5,1,4,4,40,4,8,2,0.5,9,2,5
134,Between 1 and 5 years,30,3,4,4,40,1,8,2,0,8,2,1
135,More than 5 years,10,2,4,5,50,2,8,4,0.5,8,8,4
136,More than 5 years,10,3,4,4,60,1,8,1,0,9,1,1
138,More than 5 years,5,3,4,3,20,1,8,2,0,8,3,2
141,Between 1 and 5 years,20,4,5,5,80,3,8,4,0.5,9,5.5,1
142,More than 5 years,100,3,5,3,100,1,8,2,0,8,8,3
143,Between 1 and 5 years,5,3,4,4,30,1.5,5.5,3.5,0.05,6,3.5,5.5
144,Between 1 and 5 years,20,3,4,4,100,2,8,3,0.2,8,5,3
145,Between 1 and 5 years,5,3,5,4,20,0.75,4.5,2.5,0.5,6,2,1.5
146,Between 1 and 5 years,100,1,4,5,100,2,6,0.5,0,8,2,1
147,More than 5 years,100,2,3,1,50,1,2,2,1,1,1,1
148,More than 5 years,50,1,2,2,50,2,8,4,2,8,4,2
151,More than 5 years,40,5,5,5,50,3,7,2,0,8,4,4
152,Between 1 and 5 years,80,3,4,5,100,1,8,6,0,14,2,2
155,Between 1 and 5 years,10,1,4,4,40,3,8,2,1,8,2,3
156,Between 1 and 5 years,30,3,4,4,30,2.5,5,4,0.5,7,8,3
159,Between 1 and 5 years,50,5,3,3,50,1,7,5,1,3,6,1
160,Between 1 and 5 years,50,3,3,4,50,2,7,4,0,8,9,7
162,More than 5 years,20,4,4,4,20,1,8,2,1,8,2,2
163,Between 1 and 5 years,40,4,5,5,100,1,8,1,0,8,2,3
164,Between 1 and 5 years,5,3,3,3,100,5,5,5,5,5,5,5
165,Between 1 and 5 years,50,4,4,4,50,2,8,3,1,7,3,1
166,More than 5 years,10,2,4,4,50,1,6,3,0,7,4,4
168,More than 5 years,60,5,5,5,80,1,5,2,0,8,4,2
170,Between 1 and 5 years,20,2,3,4,80,3.5,8,4,0,9,5,0
171,Between 1 and 5 years,50,4,4,5,80,1,8,2,0,4,6,2
173,Between 1 and 5 years,10,2,4,5,50,1,9,2,0,8,3,2
174,Between 1 and 5 years,5,1,3,3,50,3.5,7,2,0,8,8,1
176,More than 5 years,5,3,4,5,100,0.5,6,0,0,3,0,0
177,Between 6 and 12 months,70,3,3,4,60,1,8,6,0.5,6,8,5
179,More than 5 years,50,5,5,4,100,3,8,8,3,8,8,5
180,More than 5 years,60,2,5,5,100,3.5,8,5,0,6.5,9.5,8
181,More than 5 years,10,3,3,3,50,0.5,4,4,0.5,2,6,4
183,Between 1 and 5 years,100,5,5,5,100,2,8,7,2,9,7,6
186,Between 1 and 5 years,60,3,4,5,100,2,8,2,2,7,2,2
190,Between 1 and 5 years,30,5,5,5,70,1,6,0,0.5,7,1,0
193,More than 5 years,50,5,5,5,50,1,2,5,0.5,4,5,1
194,Between 1 and 5 years,5,1,5,5,100,2.5,8.5,10,0,9,10,5
198,Between 1 and 5 years,80,4,4,4,60,0.2,8,0.5,0,8,0,1
200,Between 1 and 5 years,60,3,3,4,20,3.5,1.5,5,1.5,3.5,4,1
203,Between 1 and 5 years,20,4,5,5,50,1,6,0.5,0,5,2,0.5
205,Between 1 and 5 years,40,4,5,5,60,0.5,6,1,0,5,2,2
206,More than 5 years,70,1,4,1,100,1.5,9,2,0.5,9.5,2.5,2.5
207,More than 5 years,30,5,4,4,20,1,9,4,0,9,5,2
210,Between 1 and 5 years,100,5,4,5,100,2,8,5,0,8,10,0
211,Between 1 and 5 years,20,3,4,4,50,2,7,2,0.5,8,3,2
212,Between 1 and 5 years,30,2,5,5,50,2,6,1,0,8,2,1
213,More than 5 years,10,4,3,4,100,2,8,8,0,10,10,4
216,Between 1 and 5 years,20,4,4,4,20,1,5,3,0.2,5,5,2
217,Between 1 and 5 years,30,3,3,3,20,1,8,4,0,7,6,3
218,Between 1 and 5 years,20,3,3,4,60,2,7,3.5,0.5,7,3.5,4
219,More than 5 years,5,1,4,4,50,3,8,1,0,8,1,1
220,More than 5 years,20,2,3,4,100,1,7.5,11,0.5,7,12,4.5
223,Between 1 and 5 years,50,4,5,5,100,4,7,3,0,8,6,1
224,Between 1 and 5 years,10,4,4,3,20,2,3,6,2,4,6,2
225,Between 1 and 5 years,30,2,3,3,5,2,8,6,0.5,8,6,9.5
227,Between 1 and 5 years,5,3,4,4,20,1,9,12,0,8,12,2
228,Between 1 and 5 years,20,1,3,4,70,2,9,3,0.5,10,4,4
229,Between 6 and 12 months,20,5,4,4,40,4,4,4,6,6,3,3
232,Between 1 and 5 years,5,1,1,2,50,1.5,7,0.5,0.25,7,0.25,0
233,More than 5 years,5,3,3,5,5,2,5,6,1,5,7,3
236,Between 6 and 12 months,20,4,2,2,30,1,2,1,2,2,2,2
237,More than 5 years,50,4,4,4,90,1,8,12,0,8,13,3
238,More than 5 years,20,4,4,3,10,1,8,3,1,7,3,1
239,Between 1 and 5 years,90,4,4,4,90,3,10,2,0.5,10,2,6
240,More than 5 years,30,4,4,4,50,1,8,9,0.5,8,9.5,6
241,Between 1 and 5 years,5,3,3,3,60,2,7,3,1,8,4,4
243,Between 1 and 5 years,100,3,4,5,100,2,4,4,0,4,4,4
244,More than 5 years,100,4,4,3,60,2,10,2,2,12,8,2
246,More than 5 years,20,3,4,4,80,2,7,5,1,7,6,2
250,More than 5 years,30,4,5,4,60,2,8,5,0,8,6,2
251,Between 1 and 5 years,10,2,4,4,70,0.5,9,10,0,11,9,4
252,More than 5 years,5,4,3,4,60,2,8,6,2,9,6,7
254,Between 6 and 12 months,20,3,3,2,30,1,7,2,1,6,2,1
255,Between 1 and 5 years,5,5,2,3,50,0.5,7.5,11,0,7,12,5
256,Between 1 and 5 years,20,3,3,3,10,1,5,10,1,5,1,1
258,Between 1 and 5 years,50,3,4,5,80,2.5,8.5,3,0,7,5,2
261,More than 5 years,10,4,3,5,50,1,7,9,0,10,6,2
262,Between 6 and 12 months,40,3,3,3,40,1,5,2,2,7,2,9
263,Between 1 and 5 years,70,5,5,5,50,3,8,10,0,9,12,3
264,Between 1 and 5 years,100,4,3,4,90,2,7,5,0,7,7,3
265,Between 6 and 12 months,5,2,4,5,90,3,7,2,0.5,8,2,1.5
267,Between 1 and 5 years,40,4,4,3,40,0.5,7,2,0,7.5,4,2
270,Between 1 and 5 years,20,3,4,2,40,2,9,4,0,12,4,1
272,Between 1 and 5 years,70,2,4,5,70,1,8,6,0,9,5,2
273,More than 5 years,5,2,1,1,20,2,8,2,1,8.5,2,2
274,More than 5 years,80,3,4,5,90,4.5,7.5,2,0,8,5,1
275,Between 1 and 5 years,80,3,5,4,90,3,5,4,0,10,3,4
276,More than 5 years,10,3,4,4,10,0.5,7.5,0.75,0,8,3,2
277,Between 1 and 5 years,100,2,4,4,70,1,7,1,0,8,2,1
278,Between 1 and 5 years,5,1,4,5,80,3,7.5,1,0,7.5,2,2
280,Between 1 and 5 years,90,5,5,5,100,1,5,5,0,8,5,4
282,Between 1 and 5 years,70,3,2,4,50,1,8,0.25,0.5,8,0.25,0
286,More than 5 years,40,5,4,5,40,1.5,8,4.5,0.5,9,4.5,2
287,More than 5 years,5,1,4,2,5,2,9,4,0,11,4,1
288,More than 5 years,5,3,1,1,100,1,8,4,0,8,6,2
289,Between 6 and 12 months,70,4,2,5,60,5,4,2,2,2,2,2
290,More than 5 years,40,3,4,3,40,2.5,9,3,0.5,10,2,2.5
291,More than 5 years,10,2,4,4,80,1,9,3,0,10,4,4
296,More than 5 years,30,4,4,5,50,3,9,2,0,9,5,2
297,More than 5 years,10,1,3,4,70,3,9,0,0.5,10,0,1
298,More than 5 years,100,2,4,5,100,1,7,0.5,0,8,0.5,0.5
299,Between 1 and 5 years,50,4,3,4,50,1.5,6.5,3,0,7,4,4
301,More than 5 years,5,3,3,4,50,4,6,2,0.5,8,3.5,2
304,Between 1 and 5 years,100,5,4,4,100,0,8,8,0,8,8,2
305,More than 5 years,5,2,4,4,100,0.75,7.5,5,0,7.5,6,3
306,More than 5 years,5,3,4,2,40,2,8,3,1,8,4,3
307,More than 5 years,10,5,5,5,50,2,6,8,0.5,4,8,4
309,Between 1 and 5 years,5,4,4,4,40,1.25,8.5,1.5,0,8.5,2,2
310,Between 1 and 5 years,5,1,2,4,50,1,8,1,0.5,9,1,1
311,More than 5 years,20,4,4,4,20,1,6,0.5,0.2,6,1,1
312,More than 5 years,10,3,3,3,10,1,11,1,1,11,1,3
313,More than 5 years,90,5,5,5,90,0.5,8,8,0.5,10,6,4
316,More than 5 years,40,4,4,5,60,3,8,5,0,9,6,1
317,Between 1 and 5 years,10,4,3,4,50,1.5,10,2,0.5,10,4,3
318,Between 1 and 5 years,5,3,4,4,30,1,7,2,0,7,2,1
319,Between 1 and 5 years,50,2,5,5,100,2.5,7.5,2,0.5,8,3,1
320,More than 5 years,50,5,5,5,70,1,7,2,0,9,2,2
321,More than 5 years,40,3,4,4,80,3,6,12,0,8,10,6
323,More than 5 years,20,3,4,5,90,1,6,1,1,7,0.5,0.5
324,More than 5 years,30,3,4,4,50,2,8,4,0.5,8,5,2.5
325,More than 5 years,30,2,5,5,90,2,9,2,0.5,13,1,1
327,More than 5 years,100,5,5,5,100,0.5,3,2,0,3,2,5
328,More than 5 years,40,1,2,4,50,1.5,7,1,0.5,7.5,2,2
335,More than 5 years,20,3,3,4,50,1.5,9,1,0,9,1,1
337,More than 5 years,30,3,4,4,70,1.5,7,2,0,6,3,3
338,More than 5 years,10,2,3,3,20,1,7,4,0.1,7,5,2
339,Between 1 and 5 years,10,4,3,3,60,0.25,8.5,2,0.1,10.5,2.5,1
340,Between 1 and 5 years,50,3,3,3,60,1,8,0,1,4,3,2
341,More than 5 years,40,4,5,5,30,1,6,8,0.25,7,8,8
342,More than 5 years,90,5,5,5,90,1,8,14,0,2,20,2
343,More than 5 years,20,4,3,4,70,4,9,2,0.5,9,3,3
344,Between 6 and 12 months,10,2,4,3,70,2,8,4,0,8,5,3
345,More than 5 years,100,4,5,5,100,2,8,2,0,4,4,1
347,Between 1 and 5 years,20,3,4,3,70,2,7,3,3,8,5,8
348,More than 5 years,50,4,4,4,30,0.5,7,2,0,8,2,0
349,More than 5 years,20,4,4,4,70,2,8,4,0,9,4,3
350,More than 5 years,40,4,4,3,40,2,8,1,0.25,8,2,2
353,More than 5 years,10,3,3,3,10,1,3,13,1,5,15,3
356,More than 5 years,70,3,4,4,70,2,9,2,0,9,4,2
357,More than 5 years,40,4,3,3,70,0.5,8,4,2,6,1,0
358,More than 5 years,20,4,4,4,50,1,9,7,0.5,9,7,1
359,More than 5 years,20,3,3,3,20,1,10,10,0,12,10,2
360,More than 5 years,5,3,3,4,50,2,8,5,0,8,4,6
361,More than 5 years,50,2,5,5,100,4,8,3,0.5,8,4.5,3
362,More than 5 years,5,4,4,3,10,2,10,8,0.5,10,9.5,4
363,More than 5 years,20,3,4,5,60,3,10,2,0.5,10,6,2
364,Between 1 and 5 years,100,5,5,5,100,1,1,1,4,6,5,7
365,Between 1 and 5 years,20,4,5,3,20,1.5,7,3,0,4,4,4
366,More than 5 years,40,3,4,3,20,2,8,3,0,10,2,2
367,More than 5 years,20,4,5,4,40,1.5,9,3,0,8,4,2
368,More than 5 years,50,5,5,5,50,1.5,9,10,0,10,5,3
369,Between 1 and 5 years,50,4,5,3,50,2,11,8,0,14,5,5
370,More than 5 years,20,3,4,4,20,2,4,2,0,4,3,3
371,More than 5 years,60,3,4,4,60,3.5,8.5,3,0.5,9.5,4,2
372,Between 1 and 5 years,100,5,5,4,100,1,8,2,1,8,2,2
376,More than 5 years,50,3,3,2,20,0.5,6,1,0.5,5,1,1
377,Between 1 and 5 years,40,4,5,4,60,2,8,2,0,8.5,2,1
378,More than 5 years,50,4,4,4,50,1,7,2,0.25,8,3,0
379,More than 5 years,20,2,2,4,20,2,8,10,0,8,10,6
380,Between 1 and 5 years,30,4,3,4,50,2,10,1,0,10,4,2
381,More than 5 years,20,3,4,4,30,1.5,9,3,0.5,7,4,2
382,More than 5 years,5,1,4,5,70,4.5,7.5,2,0,7.5,4,2
383,More than 5 years,80,3,4,4,80,2,7,2,0,7,2,1
384,More than 5 years,10,5,3,3,50,1.5,9,10,0,10,10,4
385,More than 5 years,5,2,4,5,40,0,8.5,6,0,8.5,6,1
386,More than 5 years,100,5,2,4,50,2,9,3,0,10,4,1
390,More than 5 years,20,4,4,5,80,3,7.5,4,0,8.5,5,3
393,More than 5 years,70,4,5,4,80,3,8,4,0.5,8,6,2
394,Between 1 and 5 years,90,4,5,5,80,2,6,2,0.5,8,2,2
395,More than 5 years,10,4,4,5,40,2,8,0.5,0,8,3,1
396,Between 1 and 5 years,40,5,5,5,80,3,8,0,0,9,1,0
397,Between 1 and 5 years,20,3,4,4,60,3,8,3,0,9,4,2
400,More than 5 years,100,5,4,5,100,0,6,2,0,6,2,3
401,Between 6 and 12 months,50,4,4,3,50,5,4,3,4,4,4,12
402,Between 1 and 5 years,5,2,4,4,50,2,7,5,0.3,7,6,2
403,Between 1 and 5 years,40,4,4,4,70,0.5,8,4,0.5,8,2,1.5
405,More than 5 years,30,5,5,4,80,2,8,6,0,9,7,8
407,Between 6 and 12 months,90,1,1,1,50,1,7.5,2.5,0,7.5,3,2
408,Between 1 and 5 years,5,4,4,4,80,2,10,4,0,10,6,2
410,More than 5 years,5,3,4,4,50,1,6,1,0.5,8,2,8
412,More than 5 years,5,2,4,3,60,1.2,9,5,0.2,9.5,5.5,1.2
413,More than 5 years,5,1,3,3,40,2.5,7.5,4.5,0.5,7.5,6,0.5
415,More than 5 years,50,3,4,3,30,3,5,8,2,6,8,8
416,Between 1 and 5 years,20,3,4,4,80,1.5,5,7,0,7,5,2
417,More than 5 years,50,4,4,4,80,2,8,3,0,9,4,4
420,Between 1 and 5 years,20,2,4,4,50,1,9,0,0.25,12,0,0
421,More than 5 years,5,2,2,3,50,1,8,3,0.5,8,3,3
422,Between 1 and 5 years,30,2,5,3,50,2.5,8,2,0.25,8,2,4
423,More than 5 years,30,5,4,5,80,1.5,8,14,0,8,15.5,0.5
424,Between 1 and 5 years,5,1,4,4,40,3,7.5,3,1,7,5,1
425,More than 5 years,100,2,1,4,50,1,7,1,0,7,3,1
426,Between 1 and 5 years,5,1,4,4,40,3,8,5,1,8,6,1
427,Between 6 and 12 months,5,1,1,1,70,2.5,8,8,0.5,9,7.5,7
428,More than 5 years,40,3,2,2,100,1,8,3,0,6,5,1
430,More than 5 years,10,5,2,5,20,1.5,10,4.5,0.5,11,3.5,1
431,Between 6 and 12 months,100,4,4,4,100,1,8,5,0,8,6,2
432,More than 5 years,20,4,2,3,20,0.5,8,4,0.1,8,6,2
433,Between 1 and 5 years,20,3,4,4,50,0.25,9.5,4,0,9,5,2
438,Between 6 and 12 months,90,5,5,5,100,1,7,4,0,8,7,0
439,Between 6 and 12 months,100,5,5,5,100,1.5,9,5,2,10,4,5
440,Between 1 and 5 years,20,3,4,2,50,2.5,7,3,0.5,7,3,1
441,Between 6 and 12 months,80,5,4,4,50,1,9,4,0,9,5,0
442,Between 1 and 5 years,5,4,4,5,40,2,8,2,0.5,9,3,2
443,More than 5 years,100,4,5,4,100,4,7,0.5,0,8,0.5,0.5
444,More than 5 years,10,3,4,4,80,3.5,8,3,0.5,9,5,1.5
447,More than 5 years,50,1,3,3,70,2,9,3.5,0.5,9,4.5,2.5
448,Between 1 and 5 years,20,2,4,3,20,2,8,3,0.45,9,3,1
450,Between 1 and 5 years,50,5,5,5,80,2,6,4,1,8,2,4
451,More than 5 years,10,3,4,3,80,1,7,4,0,8,4,2
