Response ID,How long have you been in your current job?,"Thinking about your current job, how much of your time did you spend remote working last year?","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others","Imagine that COVID-19 is cured or eradicated. Going forward, how much of your time would you prefer to work remotely?","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Working","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you do remote work, how many hours would you spend doing the following activities? - Working","On a day when you do remote work, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Caring and domestic responsibilities"
343,More than 5 years,20,4,3,4,5,5,70.0,4.0,9.0,2.0,0.5,9.0,3.0,3.0
344,Between 6 and 12 months,10,2,4,3,2,2,70.0,2.0,8.0,4.0,0.0,8.0,5.0,3.0
345,More than 5 years,100,4,5,5,5,5,100.0,2.0,8.0,2.0,0.0,4.0,4.0,1.0
347,Between 1 and 5 years,20,3,4,3,5,3,70.0,2.0,7.0,3.0,3.0,8.0,5.0,8.0
348,More than 5 years,50,4,4,4,4,4,30.0,0.5,7.0,2.0,0.0,8.0,2.0,0.0
349,More than 5 years,20,4,4,4,4,4,70.0,2.0,8.0,4.0,0.0,9.0,4.0,3.0
350,More than 5 years,40,4,4,3,4,4,40.0,2.0,8.0,1.0,0.25,8.0,2.0,2.0
353,More than 5 years,10,3,3,3,3,3,10.0,1.0,3.0,13.0,1.0,5.0,15.0,3.0
356,More than 5 years,70,3,4,4,4,4,70.0,2.0,9.0,2.0,0.0,9.0,4.0,2.0
357,More than 5 years,40,4,3,3,3,3,70.0,0.5,8.0,4.0,2.0,6.0,1.0,0.0
358,More than 5 years,20,4,4,4,4,4,50.0,1.0,9.0,7.0,0.5,9.0,7.0,1.0
359,More than 5 years,20,3,3,3,3,3,20.0,1.0,10.0,10.0,0.0,12.0,10.0,2.0
360,More than 5 years,5,3,3,4,4,4,50.0,2.0,8.0,5.0,0.0,8.0,4.0,6.0
361,More than 5 years,50,2,5,5,5,5,100.0,4.0,8.0,3.0,0.5,8.0,4.5,3.0
362,More than 5 years,5,4,4,3,4,3,10.0,2.0,10.0,8.0,0.5,10.0,9.5,4.0
363,More than 5 years,20,3,4,5,5,5,60.0,3.0,10.0,2.0,0.5,10.0,6.0,2.0
364,Between 1 and 5 years,100,5,5,5,5,5,100.0,1.0,1.0,1.0,4.0,6.0,5.0,7.0
365,Between 1 and 5 years,20,4,5,3,5,5,20.0,1.5,7.0,3.0,0.0,4.0,4.0,4.0
366,More than 5 years,40,3,4,3,2,3,20.0,2.0,8.0,3.0,0.0,10.0,2.0,2.0
367,More than 5 years,20,4,5,4,5,5,40.0,1.5,9.0,3.0,0.0,8.0,4.0,2.0
368,More than 5 years,50,5,5,5,3,4,50.0,1.5,9.0,10.0,0.0,10.0,5.0,3.0
369,Between 1 and 5 years,50,4,5,3,5,4,50.0,2.0,11.0,8.0,0.0,14.0,5.0,5.0
370,More than 5 years,20,3,4,4,4,4,20.0,2.0,4.0,2.0,0.0,4.0,3.0,3.0
371,More than 5 years,60,3,4,4,4,4,60.0,3.5,8.5,3.0,0.5,9.5,4.0,2.0
372,Between 1 and 5 years,100,5,5,4,5,4,100.0,1.0,8.0,2.0,1.0,8.0,2.0,2.0
376,More than 5 years,50,3,3,2,4,3,20.0,0.5,6.0,1.0,0.5,5.0,1.0,1.0
377,Between 1 and 5 years,40,4,5,4,5,5,60.0,2.0,8.0,2.0,0.0,8.5,2.0,1.0
378,More than 5 years,50,4,4,4,4,4,50.0,1.0,7.0,2.0,0.25,8.0,3.0,0.0
379,More than 5 years,20,2,2,4,4,4,20.0,2.0,8.0,10.0,0.0,8.0,10.0,6.0
380,Between 1 and 5 years,30,4,3,4,4,4,50.0,2.0,10.0,1.0,0.0,10.0,4.0,2.0
381,More than 5 years,20,3,4,4,4,5,30.0,1.5,9.0,3.0,0.5,7.0,4.0,2.0
382,More than 5 years,5,1,4,5,5,5,70.0,4.5,7.5,2.0,0.0,7.5,4.0,2.0
383,More than 5 years,80,3,4,4,5,5,80.0,2.0,7.0,2.0,0.0,7.0,2.0,1.0
384,More than 5 years,10,5,3,3,5,5,50.0,1.5,9.0,10.0,0.0,10.0,10.0,4.0
385,More than 5 years,5,2,4,5,4,5,40.0,0.0,8.5,6.0,0.0,8.5,6.0,1.0
386,More than 5 years,100,5,2,4,2,4,50.0,2.0,9.0,3.0,0.0,10.0,4.0,1.0
390,More than 5 years,20,4,4,5,5,5,80.0,3.0,7.5,4.0,0.0,8.5,5.0,3.0
393,More than 5 years,70,4,5,4,4,3,80.0,3.0,8.0,4.0,0.5,8.0,6.0,2.0
394,Between 1 and 5 years,90,4,5,5,5,5,80.0,2.0,6.0,2.0,0.5,8.0,2.0,2.0
395,More than 5 years,10,4,4,5,4,5,40.0,2.0,8.0,0.5,0.0,8.0,3.0,1.0
396,Between 1 and 5 years,40,5,5,5,5,5,80.0,3.0,8.0,0.0,0.0,9.0,1.0,0.0
397,Between 1 and 5 years,20,3,4,4,5,5,60.0,3.0,8.0,3.0,0.0,9.0,4.0,2.0
400,More than 5 years,100,5,4,5,5,5,100.0,0.0,6.0,2.0,0.0,6.0,2.0,3.0
401,Between 6 and 12 months,50,4,4,3,4,3,50.0,5.0,4.0,3.0,4.0,4.0,4.0,12.0
402,Between 1 and 5 years,5,2,4,4,4,5,50.0,2.0,7.0,5.0,0.3,7.0,6.0,2.0
403,Between 1 and 5 years,40,4,4,4,4,4,70.0,0.5,8.0,4.0,0.5,8.0,2.0,1.5
405,More than 5 years,30,5,5,4,5,5,80.0,2.0,8.0,6.0,0.0,9.0,7.0,8.0
407,Between 6 and 12 months,90,1,1,1,4,4,50.0,1.0,7.5,2.5,0.0,7.5,3.0,2.0
408,Between 1 and 5 years,5,4,4,4,4,5,80.0,2.0,10.0,4.0,0.0,10.0,6.0,2.0
410,More than 5 years,5,3,4,4,4,4,50.0,1.0,6.0,1.0,0.5,8.0,2.0,8.0
412,More than 5 years,5,2,4,3,4,3,60.0,1.2,9.0,5.0,0.2,9.5,5.5,1.2
413,More than 5 years,5,1,3,3,4,3,40.0,2.5,7.5,4.5,0.5,7.5,6.0,0.5
415,More than 5 years,50,3,4,3,4,3,30.0,3.0,5.0,8.0,2.0,6.0,8.0,8.0
416,Between 1 and 5 years,20,3,4,4,4,4,80.0,1.5,5.0,7.0,0.0,7.0,5.0,2.0
417,More than 5 years,50,4,4,4,4,4,80.0,2.0,8.0,3.0,0.0,9.0,4.0,4.0
420,Between 1 and 5 years,20,2,4,4,5,5,50.0,1.0,9.0,0.0,0.25,12.0,0.0,0.0
421,More than 5 years,5,2,2,3,4,4,50.0,1.0,8.0,3.0,0.5,8.0,3.0,3.0
422,Between 1 and 5 years,30,2,5,3,5,5,50.0,2.5,8.0,2.0,0.25,8.0,2.0,4.0
423,More than 5 years,30,5,4,5,4,5,80.0,1.5,8.0,14.0,0.0,8.0,15.5,0.5
424,Between 1 and 5 years,5,1,4,4,4,5,40.0,3.0,7.5,3.0,1.0,7.0,5.0,1.0
425,More than 5 years,100,2,1,4,5,5,50.0,1.0,7.0,1.0,0.0,7.0,3.0,1.0
426,Between 1 and 5 years,5,1,4,4,4,4,40.0,3.0,8.0,5.0,1.0,8.0,6.0,1.0
427,Between 6 and 12 months,5,1,1,1,5,5,70.0,2.5,8.0,8.0,0.5,9.0,7.5,7.0
428,More than 5 years,40,3,2,2,3,3,100.0,1.0,8.0,3.0,0.0,6.0,5.0,1.0
430,More than 5 years,10,5,2,5,2,5,20.0,1.5,10.0,4.5,0.5,11.0,3.5,1.0
431,Between 6 and 12 months,100,4,4,4,3,4,100.0,1.0,8.0,5.0,0.0,8.0,6.0,2.0
432,More than 5 years,20,4,2,3,3,4,20.0,0.5,8.0,4.0,0.1,8.0,6.0,2.0
433,Between 1 and 5 years,20,3,4,4,3,4,50.0,0.25,9.5,4.0,0.0,9.0,5.0,2.0
438,Between 6 and 12 months,90,5,5,5,5,5,100.0,1.0,7.0,4.0,0.0,8.0,7.0,0.0
439,Between 6 and 12 months,100,5,5,5,5,5,100.0,1.5,9.0,5.0,2.0,10.0,4.0,5.0
440,Between 1 and 5 years,20,3,4,2,4,3,50.0,2.5,7.0,3.0,0.5,7.0,3.0,1.0
441,Between 6 and 12 months,80,5,4,4,4,5,50.0,1.0,9.0,4.0,0.0,9.0,5.0,0.0
442,Between 1 and 5 years,5,4,4,5,4,5,40.0,2.0,8.0,2.0,0.5,9.0,3.0,2.0
443,More than 5 years,100,4,5,4,5,4,100.0,4.0,7.0,0.5,0.0,8.0,0.5,0.5
444,More than 5 years,10,3,4,4,5,5,80.0,3.5,8.0,3.0,0.5,9.0,5.0,1.5
447,More than 5 years,50,1,3,3,4,3,70.0,2.0,9.0,3.5,0.5,9.0,4.5,2.5
448,Between 1 and 5 years,20,2,4,3,4,3,20.0,2.0,8.0,3.0,0.45,9.0,3.0,1.0
450,Between 1 and 5 years,50,5,5,5,5,5,80.0,2.0,6.0,4.0,1.0,8.0,2.0,4.0
451,More than 5 years,10,3,4,3,4,4,80.0,1.0,7.0,4.0,0.0,8.0,4.0,2.0
452,Between 1 and 5 years,20,1,3,4,4,4,30.0,1.5,10.0,4.0,0.5,10.0,5.0,2.0
453,More than 5 years,50,4,4,4,4,4,50.0,2.0,9.0,2.0,0.5,10.0,2.0,2.0
456,Between 6 and 12 months,40,3,3,4,3,2,80.0,0.2,7.0,2.0,1.0,8.0,5.0,1.0
459,Between 1 and 5 years,20,4,4,4,5,5,80.0,3.0,9.0,4.0,0.0,10.0,6.0,2.0
460,More than 5 years,50,2,5,4,5,4,50.0,4.0,7.5,4.0,0.5,8.0,6.0,3.0
463,More than 5 years,50,2,2,3,2,5,20.0,1.0,8.0,3.0,1.0,9.0,2.0,2.0
464,Between 6 and 12 months,5,4,4,4,4,4,5.0,0.5,9.0,2.0,0.0,10.0,1.0,1.0
465,More than 5 years,100,5,5,5,5,5,100.0,0.0,6.0,2.0,0.0,6.0,2.0,1.0
466,Between 1 and 5 years,20,5,4,4,4,5,40.0,1.0,8.5,5.0,0.0,10.0,5.0,1.0
467,More than 5 years,5,4,2,5,5,5,80.0,1.5,7.5,4.0,0.5,8.0,8.0,4.0
468,More than 5 years,5,2,4,3,5,4,20.0,1.5,9.0,0.5,0.5,11.0,1.0,4.0
469,More than 5 years,5,2,2,2,4,5,100.0,0.5,9.0,13.5,0.0,9.0,14.0,1.0
470,Between 1 and 5 years,50,5,4,5,4,5,40.0,1.5,8.0,3.0,0.5,8.0,4.0,1.0
472,Between 1 and 5 years,100,3,2,2,3,2,40.0,1.0,1.0,2.0,1.0,6.0,2.0,7.0
473,More than 5 years,30,5,5,4,5,5,60.0,1.0,11.0,3.0,0.0,11.0,3.5,1.0
475,Between 1 and 5 years,30,2,4,4,4,5,50.0,1.0,8.0,1.0,0.0,8.0,3.0,1.0
476,More than 5 years,30,2,5,4,4,4,50.0,3.0,9.0,3.0,0.5,8.0,5.0,3.0
477,More than 5 years,20,4,4,4,4,4,50.0,1.0,7.0,4.0,1.0,8.0,3.0,4.0
478,More than 5 years,10,1,4,5,4,5,70.0,3.0,7.0,3.0,0.5,8.0,4.5,4.0
481,More than 5 years,20,4,5,3,5,4,20.0,3.0,8.0,4.0,3.0,8.0,9.0,4.0
482,More than 5 years,5,2,4,4,5,5,80.0,2.0,9.0,3.0,0.5,9.0,4.0,0.5
484,Between 1 and 5 years,100,5,4,5,5,5,100.0,2.0,8.0,4.0,0.0,8.0,6.0,2.0
485,Between 1 and 5 years,5,4,4,5,4,5,60.0,2.5,8.0,2.0,0.0,9.0,3.0,1.0
487,More than 5 years,20,2,3,2,4,5,70.0,1.0,7.0,4.0,0.0,7.0,5.0,4.0
490,More than 5 years,20,3,4,5,5,5,50.0,2.0,8.0,2.0,0.5,9.5,2.0,1.0
492,Between 1 and 5 years,5,4,4,4,4,4,70.0,2.0,7.0,7.0,1.0,7.0,9.0,7.0
493,Between 1 and 5 years,50,4,3,3,4,3,70.0,2.0,8.0,1.0,0.0,10.0,2.0,1.0
497,More than 5 years,100,3,5,4,5,4,100.0,1.0,6.0,5.0,0.0,6.0,5.0,3.0
498,More than 5 years,30,4,5,5,5,5,100.0,1.0,8.0,8.0,0.2,9.0,8.0,2.0
499,Between 1 and 5 years,30,5,4,4,4,4,50.0,1.5,7.5,4.0,0.5,7.5,6.0,1.0
501,More than 5 years,30,3,1,1,1,3,50.0,2.0,6.0,4.0,2.0,3.0,6.0,4.0
502,More than 5 years,20,3,3,3,3,3,20.0,1.0,8.0,4.0,0.0,5.0,5.0,5.0
503,More than 5 years,5,2,2,3,1,3,5.0,2.0,8.0,2.0,2.0,6.0,4.0,2.0
504,More than 5 years,5,2,2,3,2,4,70.0,1.0,8.0,3.0,1.0,8.0,3.0,1.0
505,More than 5 years,100,5,5,3,5,5,90.0,0.0,8.0,5.0,0.0,8.0,5.0,3.0
506,Between 1 and 5 years,5,3,5,4,5,4,20.0,1.0,3.0,0.5,0.5,4.0,1.0,0.5
507,More than 5 years,20,2,4,2,5,5,50.0,1.0,9.0,6.0,0.0,12.0,5.0,1.0
509,More than 5 years,30,3,3,3,3,2,5.0,0.5,10.0,4.0,0.0,10.5,4.0,0.5
510,More than 5 years,30,1,3,4,5,5,70.0,3.0,9.0,3.0,0.0,13.0,2.0,2.0
512,Between 1 and 5 years,5,3,3,5,3,4,50.0,0.5,8.5,3.0,0.0,8.0,3.0,3.0
513,Between 6 and 12 months,30,3,3,3,3,3,90.0,1.0,8.0,4.0,0.0,9.0,7.0,1.0
514,Between 1 and 5 years,5,1,2,3,4,4,50.0,2.0,6.0,1.0,0.5,7.5,0.5,0.0
515,Between 1 and 5 years,50,3,5,4,4,3,20.0,1.0,9.0,2.0,0.0,5.0,3.0,3.0
516,Between 6 and 12 months,30,2,2,4,2,4,50.0,2.0,8.5,1.5,0.0,7.0,1.5,1.0
517,More than 5 years,5,4,4,4,4,4,60.0,3.5,7.0,5.0,0.0,9.0,10.0,3.0
518,More than 5 years,5,3,5,3,4,4,20.0,4.0,10.0,7.0,0.75,9.0,11.25,3.0
519,Between 1 and 5 years,50,4,4,3,3,4,50.0,2.0,8.0,2.0,3.0,8.0,1.0,2.0
520,Between 6 and 12 months,50,5,5,5,5,5,50.0,2.0,9.0,2.0,0.5,9.0,3.0,3.0
521,Between 1 and 5 years,30,1,4,3,4,3,20.0,1.0,7.0,2.0,0.25,7.0,2.0,1.5
522,Between 1 and 5 years,20,1,4,2,5,5,40.0,3.0,10.0,2.0,0.25,9.0,3.0,2.0
524,More than 5 years,5,2,2,3,3,4,10.0,1.0,9.0,6.0,0.25,9.0,6.0,1.0
528,Between 1 and 5 years,20,1,4,4,3,3,40.0,2.0,8.0,4.0,0.0,8.0,6.0,2.0
529,More than 5 years,70,5,5,5,5,5,100.0,0.25,7.35,4.0,0.0,7.35,4.0,0.5
530,More than 5 years,20,4,5,5,5,4,80.0,3.0,8.0,3.0,0.0,10.0,4.0,3.0
531,More than 5 years,5,4,2,2,3,3,10.0,1.0,8.0,6.0,1.0,8.0,4.0,2.0
533,Between 1 and 5 years,50,5,4,4,4,4,90.0,2.0,6.0,6.0,0.5,4.0,8.0,2.0
534,Between 1 and 5 years,5,3,4,5,4,5,70.0,1.5,6.0,1.0,0.0,7.0,1.0,0.0
535,Between 1 and 5 years,50,3,4,4,4,4,90.0,1.0,9.0,3.0,0.0,10.0,3.0,2.0
537,More than 5 years,5,2,4,4,4,3,5.0,0.5,8.0,6.0,0.0,4.0,10.0,1.0
539,More than 5 years,5,3,5,3,5,3,20.0,0.5,7.0,0.0,0.0,7.0,0.0,0.0
540,Between 6 and 12 months,5,1,1,1,5,4,90.0,2.5,8.0,10.0,0.0,8.0,10.0,6.0
541,Between 1 and 5 years,40,4,3,3,4,5,10.0,1.0,8.5,2.0,0.0,9.0,2.0,2.0
542,More than 5 years,10,2,4,3,4,3,50.0,2.0,6.0,2.0,1.0,2.0,9.0,2.0
544,Between 6 and 12 months,30,3,4,4,4,3,10.0,0.25,8.0,8.0,0.0,8.0,8.0,3.0
546,More than 5 years,10,4,4,4,4,4,50.0,2.0,8.0,4.0,0.0,8.0,8.0,2.0
547,More than 5 years,5,1,1,3,4,3,30.0,0.5,8.5,3.0,0.25,10.0,2.0,5.0
548,More than 5 years,50,4,5,5,5,5,100.0,1.0,7.0,2.0,0.5,9.0,2.0,0.0
549,More than 5 years,5,2,2,2,2,2,30.0,1.0,8.0,2.0,0.3,8.0,2.0,2.0
550,Between 1 and 5 years,20,2,5,4,5,5,50.0,2.0,8.0,3.0,0.0,8.0,4.0,0.5
551,More than 5 years,5,4,5,5,5,5,80.0,1.0,7.5,3.0,0.0,8.0,3.0,1.0
553,More than 5 years,40,5,5,5,5,5,90.0,1.5,8.0,4.0,0.0,8.0,5.0,3.0
554,More than 5 years,10,1,1,3,3,3,5.0,2.0,4.0,3.0,0.0,1.0,5.0,2.0
556,More than 5 years,30,5,5,5,5,5,50.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0
558,More than 5 years,20,1,1,1,4,4,50.0,2.0,9.0,1.0,0.5,9.0,1.0,1.0
561,Between 6 and 12 months,60,5,5,5,3,5,80.0,1.0,8.0,2.0,0.0,8.0,3.0,1.0
562,Between 1 and 5 years,10,1,2,4,4,5,50.0,1.5,8.5,3.0,1.0,8.0,4.0,2.0
563,More than 5 years,5,2,3,4,5,5,80.0,1.0,8.0,8.0,0.0,8.0,8.0,8.0
564,More than 5 years,20,4,4,4,4,5,60.0,1.0,8.0,5.0,0.5,8.0,6.0,5.5
565,More than 5 years,30,4,2,2,2,4,10.0,2.0,8.0,3.0,1.0,8.0,5.0,0.0
566,Between 1 and 5 years,5,1,2,2,3,4,50.0,3.0,7.0,3.0,0.5,8.0,3.0,0.0
567,More than 5 years,50,2,5,5,5,5,80.0,3.0,7.0,3.0,0.0,10.0,3.0,1.0
568,Between 6 and 12 months,60,3,4,4,4,4,40.0,3.0,9.0,6.0,0.25,7.0,7.75,9.0
569,More than 5 years,10,4,4,4,5,5,50.0,4.0,8.0,4.0,0.0,10.0,6.0,0.0
570,More than 5 years,5,2,4,3,4,3,50.0,3.0,10.0,2.0,0.1,10.0,4.0,2.0
571,Between 6 and 12 months,80,4,4,3,4,3,50.0,0.5,7.5,6.0,0.0,8.0,6.0,2.0
573,More than 5 years,60,2,4,4,4,4,80.0,1.0,4.0,2.0,0.0,5.0,2.0,1.0
575,More than 5 years,5,4,2,2,2,2,5.0,3.0,8.5,4.0,0.0,8.5,4.0,2.0
576,More than 5 years,50,4,4,4,4,4,50.0,2.0,5.0,1.0,0.0,8.0,2.0,2.0
577,More than 5 years,20,2,4,4,4,4,50.0,1.0,10.0,3.0,0.0,10.0,3.0,1.0
578,Between 1 and 5 years,5,4,4,4,4,4,50.0,1.0,7.0,2.0,0.0,7.0,3.0,2.0
580,Between 6 and 12 months,30,4,4,4,4,5,80.0,1.0,9.0,0.0,0.0,9.0,1.0,2.0
582,More than 5 years,20,3,4,4,4,4,10.0,0.5,10.0,2.0,0.5,10.0,2.0,2.0
583,More than 5 years,20,4,1,3,2,2,30.0,2.0,9.0,10.0,2.0,12.0,6.0,4.0
584,Between 1 and 5 years,50,2,4,4,5,5,30.0,3.0,8.0,11.0,0.0,10.5,10.5,3.0
585,Between 1 and 5 years,90,5,3,5,3,5,100.0,1.0,5.0,3.0,0.5,6.0,3.0,2.0
589,More than 5 years,20,4,4,4,5,4,20.0,1.0,8.0,12.0,0.0,8.0,12.0,4.0
590,More than 5 years,100,3,5,4,5,5,100.0,2.0,8.0,4.0,0.0,8.0,4.0,3.0
591,Between 1 and 5 years,10,4,4,4,5,4,5.0,2.0,7.0,3.0,2.0,7.0,3.0,3.0
593,More than 5 years,5,3,5,4,5,4,80.0,1.0,7.5,3.0,0.5,7.5,3.5,1.0
596,Between 1 and 5 years,20,5,4,5,4,5,40.0,3.0,7.0,4.0,0.0,7.0,5.0,2.0
597,Between 1 and 5 years,5,4,5,4,5,5,50.0,2.0,8.0,3.0,0.5,8.0,5.5,1.0
598,Between 1 and 5 years,50,3,4,3,4,3,50.0,1.0,9.0,2.0,1.0,9.0,2.0,2.0
599,More than 5 years,10,5,5,5,5,5,70.0,2.0,8.0,4.0,0.0,8.0,5.0,3.0
601,Between 1 and 5 years,50,3,5,5,5,5,100.0,1.0,8.0,5.0,0.0,8.5,5.0,4.0
602,More than 5 years,80,5,5,5,5,5,90.0,3.0,7.0,2.0,0.0,8.0,3.0,3.0
603,Between 6 and 12 months,20,3,3,5,5,5,60.0,0.75,9.0,3.0,0.0,12.0,3.0,2.0
604,More than 5 years,5,4,4,4,4,5,50.0,1.0,8.0,12.0,0.0,9.0,14.0,1.0
606,Between 1 and 5 years,60,3,5,5,5,5,100.0,2.5,7.0,4.0,0.0,8.0,4.0,2.0
607,More than 5 years,50,4,4,4,4,4,60.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0
609,Between 1 and 5 years,20,3,2,4,1,4,90.0,4.0,8.5,2.0,0.5,10.0,3.5,2.5
610,More than 5 years,40,2,4,4,4,4,50.0,2.0,8.0,4.0,0.0,10.0,4.0,2.0
611,More than 5 years,30,4,3,3,2,3,10.0,1.5,12.0,5.0,0.5,12.5,5.5,5.5
612,Between 1 and 5 years,5,4,3,2,4,3,40.0,1.0,8.0,6.0,0.5,8.5,6.0,1.0
613,More than 5 years,20,3,5,5,5,5,40.0,2.0,7.0,5.0,0.0,7.0,5.0,2.0
614,Between 1 and 5 years,70,5,5,5,5,5,80.0,2.5,8.5,2.0,0.0,10.0,3.0,2.0
615,More than 5 years,5,1,2,5,2,5,20.0,2.0,9.0,11.0,0.5,9.5,12.0,2.0
617,Between 1 and 5 years,5,2,3,3,4,4,60.0,3.0,8.0,1.0,1.0,8.0,2.0,2.0
619,Between 1 and 5 years,5,1,2,4,4,4,20.0,1.0,9.0,3.0,0.0,9.0,5.0,2.0
621,More than 5 years,50,4,4,4,4,4,50.0,1.0,8.0,2.0,0.0,8.0,12.0,1.0
622,More than 5 years,50,4,4,3,4,2,20.0,0.0,8.0,3.0,1.0,9.0,10.0,4.0
623,Between 1 and 5 years,70,4,5,5,5,5,80.0,2.0,7.5,5.0,1.0,7.5,6.0,1.5
624,More than 5 years,5,4,4,3,4,4,80.0,4.0,7.5,2.0,0.0,10.0,1.0,1.0
627,More than 5 years,50,4,4,5,5,5,90.0,2.0,8.0,2.0,2.0,8.0,2.0,2.0
628,More than 5 years,20,3,5,4,5,5,40.0,1.0,8.0,8.0,0.5,8.0,7.0,5.0
631,More than 5 years,5,5,3,3,2,2,10.0,0.5,9.0,3.0,0.0,11.0,4.0,1.0
632,More than 5 years,5,3,3,4,5,5,90.0,2.0,8.0,9.0,0.0,8.0,9.0,5.0
633,Between 1 and 5 years,5,4,4,4,5,5,80.0,1.5,9.0,12.5,0.0,9.0,14.0,1.0
634,Between 1 and 5 years,20,4,4,4,4,4,50.0,0.25,7.0,0.25,0.25,6.0,1.0,0.25
636,More than 5 years,30,5,5,5,5,5,70.0,3.0,8.0,2.0,0.5,9.0,3.0,2.0
637,More than 5 years,10,4,4,4,4,4,10.0,1.0,7.0,4.0,0.5,7.0,4.0,2.5
639,More than 5 years,100,5,5,5,5,5,100.0,1.0,8.0,0.0,0.5,8.0,0.0,0.0
640,Between 6 and 12 months,20,4,3,5,4,5,60.0,2.5,8.0,3.0,0.0,8.0,3.0,1.0
641,More than 5 years,50,3,4,5,4,5,60.0,2.0,7.0,4.0,0.5,7.5,5.0,3.0
642,More than 5 years,100,5,5,5,5,5,100.0,1.0,8.0,3.0,0.5,8.0,3.0,2.0
643,More than 5 years,30,3,5,3,5,3,30.0,0.3,12.0,1.0,0.0,9.0,2.0,1.0
645,Between 6 and 12 months,50,3,4,4,4,4,80.0,1.0,7.0,1.0,0.0,9.0,1.0,1.0
647,More than 5 years,100,5,5,5,5,5,100.0,0.5,2.0,3.0,0.0,2.0,3.0,3.0
650,More than 5 years,100,5,4,4,5,5,100.0,0.0,6.0,2.0,0.0,6.0,2.0,2.0
651,Between 1 and 5 years,50,4,4,3,4,3,50.0,2.0,10.0,10.0,2.0,10.0,10.0,2.0
653,Between 1 and 5 years,5,2,4,4,5,5,100.0,0.75,7.5,0.5,0.1,8.0,1.0,0.0
655,More than 5 years,30,4,4,5,4,5,60.0,1.5,10.0,1.0,0.0,11.0,3.0,1.0
656,More than 5 years,20,3,3,4,4,5,100.0,2.0,5.0,0.0,0.0,7.0,2.0,2.0
657,More than 5 years,20,2,2,3,1,3,40.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0
660,More than 5 years,10,4,5,5,4,4,20.0,2.0,7.0,4.0,2.0,7.0,2.0,2.0
661,Between 1 and 5 years,80,5,4,4,2,2,50.0,3.0,9.0,0.0,0.5,11.0,0.0,0.0
662,Between 1 and 5 years,5,1,3,4,4,4,5.0,3.0,6.0,2.0,2.0,4.0,4.0,3.0
664,More than 5 years,5,3,4,4,5,5,90.0,0.75,9.0,6.0,0.4,9.0,7.0,1.0
665,Between 6 and 12 months,50,3,3,4,4,4,70.0,1.0,5.0,10.0,1.0,6.0,9.0,2.0
666,More than 5 years,5,2,4,3,4,5,50.0,1.0,7.0,1.0,0.0,7.0,2.0,1.0
669,Between 1 and 5 years,10,3,4,4,5,5,50.0,2.0,7.0,2.0,0.0,9.0,2.0,1.0
670,More than 5 years,70,4,4,3,4,4,70.0,7.0,4.0,6.0,5.0,4.0,5.0,3.0
671,Between 1 and 5 years,10,4,4,5,4,5,60.0,1.0,8.0,8.0,0.0,8.0,8.0,3.0
672,Between 1 and 5 years,5,3,5,3,5,4,60.0,3.0,8.0,2.0,0.5,8.0,4.0,1.0
675,More than 5 years,5,1,2,5,5,5,80.0,2.5,8.0,4.0,0.5,9.0,4.0,2.0
676,Between 1 and 5 years,100,4,4,4,5,5,100.0,1.0,8.0,2.0,0.0,8.0,2.0,2.0
677,More than 5 years,50,5,4,5,5,5,80.0,4.0,8.0,2.0,0.5,8.0,2.0,1.0
679,Between 1 and 5 years,60,5,5,5,5,5,80.0,2.0,5.0,4.0,0.0,5.0,6.0,3.0
680,Between 6 and 12 months,70,4,4,4,4,4,90.0,2.0,4.0,1.0,0.5,5.0,3.0,1.0
681,Between 1 and 5 years,5,2,3,4,4,4,40.0,4.0,8.5,2.0,0.5,8.5,5.0,1.0
682,Between 1 and 5 years,40,4,4,3,4,4,40.0,1.0,6.0,2.0,0.5,6.0,2.0,1.0
683,Between 1 and 5 years,5,3,4,4,4,4,20.0,3.0,9.0,9.0,1.0,9.0,9.0,5.0
684,More than 5 years,10,4,4,3,5,4,60.0,2.0,9.0,11.0,0.0,9.0,13.0,2.0
685,Between 1 and 5 years,50,3,2,3,4,4,50.0,1.0,7.0,3.0,1.0,7.0,3.0,2.0
686,More than 5 years,5,5,4,5,5,5,50.0,4.0,8.0,2.0,4.0,8.0,2.0,1.0
688,Between 1 and 5 years,10,3,5,3,3,4,50.0,1.0,6.0,1.0,5.0,5.0,1.0,0.5
689,More than 5 years,10,2,5,5,5,5,50.0,3.0,8.0,3.0,0.0,8.0,5.0,2.0
