Response ID,How long have you been in your current job?,"Thinking about your current job, how much of your time did you spend remote working last year?","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others","Imagine that COVID-19 is cured or eradicated. Going forward, how much of your time would you prefer to work remotely?","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Working","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you do remote work, how many hours would you spend doing the following activities? - Working","On a day when you do remote work, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Caring and domestic responsibilities"
68,More than 5 years,60,3,4,2,3,2,50.0,1.0,9.0,4.0,0.5,6.0,6.0,4.0
71,More than 5 years,100,5,5,4,5,4,80.0,0.5,8.0,2.0,0.0,9.0,2.0,2.0
72,Between 1 and 5 years,30,1,2,4,4,4,50.0,3.0,7.5,5.5,0.0,8.0,8.0,2.0
73,More than 5 years,60,5,5,5,5,5,90.0,3.0,8.0,3.0,1.0,9.0,4.0,2.0
74,More than 5 years,10,2,4,4,5,5,50.0,2.5,8.0,2.0,0.5,9.0,3.0,5.0
75,More than 5 years,90,2,4,4,5,5,60.0,3.0,8.0,1.0,0.0,6.0,6.0,4.0
76,More than 5 years,50,3,4,4,5,5,80.0,1.5,7.5,5.0,0.0,7.5,7.0,0.5
77,Between 1 and 5 years,40,3,3,4,3,4,40.0,3.0,6.0,4.0,2.0,7.0,3.0,1.0
78,More than 5 years,30,4,4,4,4,4,90.0,3.0,2.0,1.0,0.0,5.0,1.0,1.0
79,More than 5 years,5,3,4,2,5,4,50.0,3.0,7.0,1.0,0.5,7.0,3.0,4.0
80,More than 5 years,30,5,5,5,5,5,90.0,1.0,10.0,1.0,0.0,11.0,2.0,1.0
81,More than 5 years,30,1,5,4,5,3,40.0,3.0,6.0,5.0,0.5,5.0,8.0,4.0
82,More than 5 years,50,3,4,2,3,2,100.0,2.5,10.0,2.0,0.5,2.5,2.0,3.0
83,Between 1 and 5 years,5,2,2,3,3,4,60.0,1.0,7.0,15.0,0.5,7.0,15.5,1.0
84,More than 5 years,5,3,3,4,4,4,70.0,3.5,7.6,2.0,0.0,7.6,4.5,4.0
85,Between 1 and 5 years,20,2,5,4,5,5,70.0,6.0,7.0,2.0,1.0,8.0,4.0,4.0
86,Between 6 and 12 months,30,3,2,1,1,1,30.0,1.0,10.0,4.0,0.0,10.0,5.0,2.0
87,Between 1 and 5 years,5,1,2,2,2,2,100.0,0.2,14.0,3.0,0.0,12.0,3.0,2.0
89,More than 5 years,30,4,4,5,5,5,80.0,2.5,7.0,3.0,0.5,8.0,4.0,2.0
90,More than 5 years,30,3,4,4,4,4,60.0,1.0,1.0,2.0,0.0,6.0,3.0,3.0
91,More than 5 years,100,4,4,4,4,4,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,More than 5 years,5,4,4,3,4,3,50.0,3.0,8.0,2.0,0.0,9.0,4.0,3.0
93,Between 1 and 5 years,10,1,4,3,4,3,20.0,1.5,8.0,4.0,0.5,8.0,4.0,1.0
96,Between 1 and 5 years,50,4,5,5,5,5,50.0,2.5,8.0,4.0,0.0,8.0,8.0,2.0
97,Between 6 and 12 months,100,5,5,5,5,5,100.0,1.0,8.0,4.0,0.0,10.0,2.0,1.0
99,More than 5 years,5,1,4,3,4,3,10.0,1.5,9.0,5.0,0.0,9.0,5.0,2.0
100,More than 5 years,5,4,4,4,4,4,90.0,2.0,8.0,4.0,0.5,8.0,4.0,0.0
102,More than 5 years,60,5,5,5,5,5,100.0,1.0,8.0,4.0,0.0,6.0,6.0,2.0
103,More than 5 years,10,4,5,5,5,5,80.0,1.0,5.0,18.0,2.0,8.0,14.0,0.0
104,More than 5 years,90,3,5,3,5,5,80.0,2.0,7.0,4.0,0.0,7.0,5.5,1.5
105,More than 5 years,5,2,4,3,5,3,20.0,2.0,6.0,1.0,0.5,7.0,2.0,2.0
106,More than 5 years,70,5,5,4,5,4,40.0,1.0,8.0,4.0,0.0,9.0,4.0,3.0
107,More than 5 years,60,3,4,4,5,4,70.0,3.0,9.0,3.0,0.5,9.0,4.0,3.0
108,More than 5 years,80,3,4,3,4,4,50.0,5.0,8.0,2.0,1.0,8.0,4.0,3.0
109,Between 6 and 12 months,5,1,3,4,4,4,70.0,1.0,6.0,3.0,0.5,8.0,3.0,3.0
112,Between 6 and 12 months,20,4,4,4,4,4,40.0,0.75,8.0,4.0,0.0,9.0,5.0,1.0
113,More than 5 years,20,4,4,4,4,4,40.0,1.5,9.0,3.0,0.5,9.0,3.0,4.0
114,Between 1 and 5 years,10,1,3,5,5,5,50.0,1.0,8.0,3.0,0.0,9.0,3.0,2.0
115,More than 5 years,50,4,5,5,5,5,100.0,3.0,9.0,3.0,0.5,9.0,3.0,2.0
116,Between 1 and 5 years,60,4,5,5,5,2,60.0,3.0,8.0,2.0,1.0,8.0,4.0,1.0
118,More than 5 years,10,2,4,3,4,3,40.0,2.0,7.0,4.0,0.5,7.0,6.0,1.0
119,More than 5 years,20,5,5,4,5,3,40.0,0.1,8.0,8.0,0.1,8.0,8.0,7.9
120,More than 5 years,50,5,4,5,5,5,90.0,2.0,6.0,6.0,0.0,9.0,6.0,2.0
121,More than 5 years,10,3,3,4,4,4,90.0,2.0,8.0,4.0,1.0,8.0,4.0,1.0
122,More than 5 years,5,3,3,4,4,5,20.0,0.5,7.5,4.0,0.5,8.0,3.0,2.5
123,More than 5 years,5,1,4,3,4,3,50.0,2.0,8.5,3.0,0.5,10.0,3.0,1.5
124,More than 5 years,30,4,4,4,4,4,30.0,1.0,10.0,3.0,1.0,10.0,4.0,2.0
126,Between 1 and 5 years,60,4,5,4,5,5,70.0,2.0,8.0,3.0,0.5,8.0,4.0,3.0
127,More than 5 years,5,5,5,5,5,5,5.0,0.2,3.0,4.0,0.2,3.0,5.0,5.0
128,Between 1 and 5 years,5,3,3,3,5,5,50.0,3.0,9.0,2.0,0.0,9.0,2.0,3.0
129,More than 5 years,50,4,4,5,5,5,90.0,2.0,8.0,3.0,0.0,8.0,5.0,4.0
130,Between 1 and 5 years,90,5,5,5,5,5,80.0,1.5,4.0,2.0,0.2,4.0,4.0,5.0
131,Between 1 and 5 years,90,5,4,4,4,4,50.0,2.0,7.0,13.0,0.5,8.0,12.5,3.0
132,More than 5 years,30,4,5,4,5,5,50.0,1.0,7.5,3.0,1.0,7.5,5.0,3.0
133,More than 5 years,5,1,4,4,5,5,40.0,4.0,8.0,2.0,0.5,9.0,2.0,5.0
134,Between 1 and 5 years,30,3,4,4,4,4,40.0,1.0,8.0,2.0,0.0,8.0,2.0,1.0
135,More than 5 years,10,2,4,5,4,5,50.0,2.0,8.0,4.0,0.5,8.0,8.0,4.0
136,More than 5 years,10,3,4,4,4,4,60.0,1.0,8.0,1.0,0.0,9.0,1.0,1.0
138,More than 5 years,5,3,4,3,4,3,20.0,1.0,8.0,2.0,0.0,8.0,3.0,2.0
141,Between 1 and 5 years,20,4,5,5,5,5,80.0,3.0,8.0,4.0,0.5,9.0,5.5,1.0
142,More than 5 years,100,3,5,3,5,5,100.0,1.0,8.0,2.0,0.0,8.0,8.0,3.0
143,Between 1 and 5 years,5,3,4,4,5,4,30.0,1.5,5.5,3.5,0.05,6.0,3.5,5.5
144,Between 1 and 5 years,20,3,4,4,5,5,100.0,2.0,8.0,3.0,0.2,8.0,5.0,3.0
145,Between 1 and 5 years,5,3,5,4,4,4,20.0,0.75,4.5,2.5,0.5,6.0,2.0,1.5
146,Between 1 and 5 years,100,1,4,5,5,5,100.0,2.0,6.0,0.5,0.0,8.0,2.0,1.0
147,More than 5 years,100,2,3,1,5,2,50.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
148,More than 5 years,50,1,2,2,4,4,50.0,2.0,8.0,4.0,2.0,8.0,4.0,2.0
151,More than 5 years,40,5,5,5,5,5,50.0,3.0,7.0,2.0,0.0,8.0,4.0,4.0
152,Between 1 and 5 years,80,3,4,5,5,5,100.0,1.0,8.0,6.0,0.0,14.0,2.0,2.0
155,Between 1 and 5 years,10,1,4,4,4,5,40.0,3.0,8.0,2.0,1.0,8.0,2.0,3.0
156,Between 1 and 5 years,30,3,4,4,3,4,30.0,2.5,5.0,4.0,0.5,7.0,8.0,3.0
159,Between 1 and 5 years,50,5,3,3,3,4,50.0,1.0,7.0,5.0,1.0,3.0,6.0,1.0
160,Between 1 and 5 years,50,3,3,4,3,3,50.0,2.0,7.0,4.0,0.0,8.0,9.0,7.0
162,More than 5 years,20,4,4,4,4,4,20.0,1.0,8.0,2.0,1.0,8.0,2.0,2.0
163,Between 1 and 5 years,40,4,5,5,5,5,100.0,1.0,8.0,1.0,0.0,8.0,2.0,3.0
164,Between 1 and 5 years,5,3,3,3,3,3,100.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
165,Between 1 and 5 years,50,4,4,4,5,5,50.0,2.0,8.0,3.0,1.0,7.0,3.0,1.0
166,More than 5 years,10,2,4,4,4,5,50.0,1.0,6.0,3.0,0.0,7.0,4.0,4.0
168,More than 5 years,60,5,5,5,5,5,80.0,1.0,5.0,2.0,0.0,8.0,4.0,2.0
170,Between 1 and 5 years,20,2,3,4,5,5,80.0,3.5,8.0,4.0,0.0,9.0,5.0,0.0
171,Between 1 and 5 years,50,4,4,5,5,5,80.0,1.0,8.0,2.0,0.0,4.0,6.0,2.0
173,Between 1 and 5 years,10,2,4,5,4,5,50.0,1.0,9.0,2.0,0.0,8.0,3.0,2.0
174,Between 1 and 5 years,5,1,3,3,3,4,50.0,3.5,7.0,2.0,0.0,8.0,8.0,1.0
176,More than 5 years,5,3,4,5,4,5,100.0,0.5,6.0,0.0,0.0,3.0,0.0,0.0
177,Between 6 and 12 months,70,3,3,4,5,5,60.0,1.0,8.0,6.0,0.5,6.0,8.0,5.0
179,More than 5 years,50,5,5,4,5,5,100.0,3.0,8.0,8.0,3.0,8.0,8.0,5.0
180,More than 5 years,60,2,5,5,5,5,100.0,3.5,8.0,5.0,0.0,6.5,9.5,8.0
181,More than 5 years,10,3,3,3,3,4,50.0,0.5,4.0,4.0,0.5,2.0,6.0,4.0
183,Between 1 and 5 years,100,5,5,5,5,5,100.0,2.0,8.0,7.0,2.0,9.0,7.0,6.0
186,Between 1 and 5 years,60,3,4,5,4,5,100.0,2.0,8.0,2.0,2.0,7.0,2.0,2.0
190,Between 1 and 5 years,30,5,5,5,4,5,70.0,1.0,6.0,0.0,0.5,7.0,1.0,0.0
193,More than 5 years,50,5,5,5,5,5,50.0,1.0,2.0,5.0,0.5,4.0,5.0,1.0
194,Between 1 and 5 years,5,1,5,5,5,5,100.0,2.5,8.5,10.0,0.0,9.0,10.0,5.0
198,Between 1 and 5 years,80,4,4,4,4,4,60.0,0.2,8.0,0.5,0.0,8.0,0.0,1.0
200,Between 1 and 5 years,60,3,3,4,3,4,20.0,3.5,1.5,5.0,1.5,3.5,4.0,1.0
203,Between 1 and 5 years,20,4,5,5,5,5,50.0,1.0,6.0,0.5,0.0,5.0,2.0,0.5
205,Between 1 and 5 years,40,4,5,5,5,5,60.0,0.5,6.0,1.0,0.0,5.0,2.0,2.0
206,More than 5 years,70,1,4,1,4,4,100.0,1.5,9.0,2.0,0.5,9.5,2.5,2.5
207,More than 5 years,30,5,4,4,5,5,20.0,1.0,9.0,4.0,0.0,9.0,5.0,2.0
210,Between 1 and 5 years,100,5,4,5,5,5,100.0,2.0,8.0,5.0,0.0,8.0,10.0,0.0
211,Between 1 and 5 years,20,3,4,4,4,4,50.0,2.0,7.0,2.0,0.5,8.0,3.0,2.0
212,Between 1 and 5 years,30,2,5,5,5,3,50.0,2.0,6.0,1.0,0.0,8.0,2.0,1.0
213,More than 5 years,10,4,3,4,4,5,100.0,2.0,8.0,8.0,0.0,10.0,10.0,4.0
216,Between 1 and 5 years,20,4,4,4,4,4,20.0,1.0,5.0,3.0,0.2,5.0,5.0,2.0
217,Between 1 and 5 years,30,3,3,3,3,3,20.0,1.0,8.0,4.0,0.0,7.0,6.0,3.0
218,Between 1 and 5 years,20,3,3,4,3,5,60.0,2.0,7.0,3.5,0.5,7.0,3.5,4.0
219,More than 5 years,5,1,4,4,4,4,50.0,3.0,8.0,1.0,0.0,8.0,1.0,1.0
220,More than 5 years,20,2,3,4,4,5,100.0,1.0,7.5,11.0,0.5,7.0,12.0,4.5
223,Between 1 and 5 years,50,4,5,5,5,5,100.0,4.0,7.0,3.0,0.0,8.0,6.0,1.0
224,Between 1 and 5 years,10,4,4,3,4,4,20.0,2.0,3.0,6.0,2.0,4.0,6.0,2.0
225,Between 1 and 5 years,30,2,3,3,2,3,5.0,2.0,8.0,6.0,0.5,8.0,6.0,9.5
227,Between 1 and 5 years,5,3,4,4,5,4,20.0,1.0,9.0,12.0,0.0,8.0,12.0,2.0
228,Between 1 and 5 years,20,1,3,4,4,4,70.0,2.0,9.0,3.0,0.5,10.0,4.0,4.0
229,Between 6 and 12 months,20,5,4,4,3,4,40.0,4.0,4.0,4.0,6.0,6.0,3.0,3.0
232,Between 1 and 5 years,5,1,1,2,2,4,50.0,1.5,7.0,0.5,0.25,7.0,0.25,0.0
233,More than 5 years,5,3,3,5,4,4,5.0,2.0,5.0,6.0,1.0,5.0,7.0,3.0
236,Between 6 and 12 months,20,4,2,2,2,2,30.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
237,More than 5 years,50,4,4,4,4,4,90.0,1.0,8.0,12.0,0.0,8.0,13.0,3.0
238,More than 5 years,20,4,4,3,3,3,10.0,1.0,8.0,3.0,1.0,7.0,3.0,1.0
239,Between 1 and 5 years,90,4,4,4,4,5,90.0,3.0,10.0,2.0,0.5,10.0,2.0,6.0
240,More than 5 years,30,4,4,4,4,4,50.0,1.0,8.0,9.0,0.5,8.0,9.5,6.0
241,Between 1 and 5 years,5,3,3,3,3,4,60.0,2.0,7.0,3.0,1.0,8.0,4.0,4.0
243,Between 1 and 5 years,100,3,4,5,4,5,100.0,2.0,4.0,4.0,0.0,4.0,4.0,4.0
244,More than 5 years,100,4,4,3,4,3,60.0,2.0,10.0,2.0,2.0,12.0,8.0,2.0
246,More than 5 years,20,3,4,4,5,5,80.0,2.0,7.0,5.0,1.0,7.0,6.0,2.0
250,More than 5 years,30,4,5,4,5,5,60.0,2.0,8.0,5.0,0.0,8.0,6.0,2.0
251,Between 1 and 5 years,10,2,4,4,4,4,70.0,0.5,9.0,10.0,0.0,11.0,9.0,4.0
252,More than 5 years,5,4,3,4,3,4,60.0,2.0,8.0,6.0,2.0,9.0,6.0,7.0
254,Between 6 and 12 months,20,3,3,2,4,4,30.0,1.0,7.0,2.0,1.0,6.0,2.0,1.0
255,Between 1 and 5 years,5,5,2,3,3,3,50.0,0.5,7.5,11.0,0.0,7.0,12.0,5.0
256,Between 1 and 5 years,20,3,3,3,3,3,10.0,1.0,5.0,10.0,1.0,5.0,1.0,1.0
258,Between 1 and 5 years,50,3,4,5,4,5,80.0,2.5,8.5,3.0,0.0,7.0,5.0,2.0
261,More than 5 years,10,4,3,5,3,5,50.0,1.0,7.0,9.0,0.0,10.0,6.0,2.0
262,Between 6 and 12 months,40,3,3,3,3,3,40.0,1.0,5.0,2.0,2.0,7.0,2.0,9.0
263,Between 1 and 5 years,70,5,5,5,5,5,50.0,3.0,8.0,10.0,0.0,9.0,12.0,3.0
264,Between 1 and 5 years,100,4,3,4,3,4,90.0,2.0,7.0,5.0,0.0,7.0,7.0,3.0
265,Between 6 and 12 months,5,2,4,5,5,5,90.0,3.0,7.0,2.0,0.5,8.0,2.0,1.5
267,Between 1 and 5 years,40,4,4,3,4,4,40.0,0.5,7.0,2.0,0.0,7.5,4.0,2.0
270,Between 1 and 5 years,20,3,4,2,4,4,40.0,2.0,9.0,4.0,0.0,12.0,4.0,1.0
272,Between 1 and 5 years,70,2,4,5,5,5,70.0,1.0,8.0,6.0,0.0,9.0,5.0,2.0
273,More than 5 years,5,2,1,1,2,1,20.0,2.0,8.0,2.0,1.0,8.5,2.0,2.0
274,More than 5 years,80,3,4,5,5,5,90.0,4.5,7.5,2.0,0.0,8.0,5.0,1.0
275,Between 1 and 5 years,80,3,5,4,5,5,90.0,3.0,5.0,4.0,0.0,10.0,3.0,4.0
276,More than 5 years,10,3,4,4,4,5,10.0,0.5,7.5,0.75,0.0,8.0,3.0,2.0
277,Between 1 and 5 years,100,2,4,4,4,4,70.0,1.0,7.0,1.0,0.0,8.0,2.0,1.0
278,Between 1 and 5 years,5,1,4,5,4,5,80.0,3.0,7.5,1.0,0.0,7.5,2.0,2.0
280,Between 1 and 5 years,90,5,5,5,5,5,100.0,1.0,5.0,5.0,0.0,8.0,5.0,4.0
282,Between 1 and 5 years,70,3,2,4,4,4,50.0,1.0,8.0,0.25,0.5,8.0,0.25,0.0
286,More than 5 years,40,5,4,5,5,5,40.0,1.5,8.0,4.5,0.5,9.0,4.5,2.0
287,More than 5 years,5,1,4,2,3,3,5.0,2.0,9.0,4.0,0.0,11.0,4.0,1.0
288,More than 5 years,5,3,1,1,1,1,100.0,1.0,8.0,4.0,0.0,8.0,6.0,2.0
289,Between 6 and 12 months,70,4,2,5,4,1,60.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0
290,More than 5 years,40,3,4,3,3,3,40.0,2.5,9.0,3.0,0.5,10.0,2.0,2.5
291,More than 5 years,10,2,4,4,5,5,80.0,1.0,9.0,3.0,0.0,10.0,4.0,4.0
296,More than 5 years,30,4,4,5,4,5,50.0,3.0,9.0,2.0,0.0,9.0,5.0,2.0
297,More than 5 years,10,1,3,4,3,4,70.0,3.0,9.0,0.0,0.5,10.0,0.0,1.0
298,More than 5 years,100,2,4,5,4,5,100.0,1.0,7.0,0.5,0.0,8.0,0.5,0.5
299,Between 1 and 5 years,50,4,3,4,3,4,50.0,1.5,6.5,3.0,0.0,7.0,4.0,4.0
301,More than 5 years,5,3,3,4,3,4,50.0,4.0,6.0,2.0,0.5,8.0,3.5,2.0
304,Between 1 and 5 years,100,5,4,4,4,4,100.0,0.0,8.0,8.0,0.0,8.0,8.0,2.0
305,More than 5 years,5,2,4,4,5,5,100.0,0.75,7.5,5.0,0.0,7.5,6.0,3.0
306,More than 5 years,5,3,4,2,5,3,40.0,2.0,8.0,3.0,1.0,8.0,4.0,3.0
307,More than 5 years,10,5,5,5,5,5,50.0,2.0,6.0,8.0,0.5,4.0,8.0,4.0
309,Between 1 and 5 years,5,4,4,4,4,4,40.0,1.25,8.5,1.5,0.0,8.5,2.0,2.0
310,Between 1 and 5 years,5,1,2,4,4,4,50.0,1.0,8.0,1.0,0.5,9.0,1.0,1.0
311,More than 5 years,20,4,4,4,5,4,20.0,1.0,6.0,0.5,0.2,6.0,1.0,1.0
312,More than 5 years,10,3,3,3,3,2,10.0,1.0,11.0,1.0,1.0,11.0,1.0,3.0
313,More than 5 years,90,5,5,5,5,5,90.0,0.5,8.0,8.0,0.5,10.0,6.0,4.0
316,More than 5 years,40,4,4,5,5,5,60.0,3.0,8.0,5.0,0.0,9.0,6.0,1.0
317,Between 1 and 5 years,10,4,3,4,3,4,50.0,1.5,10.0,2.0,0.5,10.0,4.0,3.0
318,Between 1 and 5 years,5,3,4,4,4,4,30.0,1.0,7.0,2.0,0.0,7.0,2.0,1.0
319,Between 1 and 5 years,50,2,5,5,5,5,100.0,2.5,7.5,2.0,0.5,8.0,3.0,1.0
320,More than 5 years,50,5,5,5,5,5,70.0,1.0,7.0,2.0,0.0,9.0,2.0,2.0
321,More than 5 years,40,3,4,4,4,4,80.0,3.0,6.0,12.0,0.0,8.0,10.0,6.0
323,More than 5 years,20,3,4,5,4,4,90.0,1.0,6.0,1.0,1.0,7.0,0.5,0.5
324,More than 5 years,30,3,4,4,4,4,50.0,2.0,8.0,4.0,0.5,8.0,5.0,2.5
325,More than 5 years,30,2,5,5,5,5,90.0,2.0,9.0,2.0,0.5,13.0,1.0,1.0
327,More than 5 years,100,5,5,5,5,5,100.0,0.5,3.0,2.0,0.0,3.0,2.0,5.0
328,More than 5 years,40,1,2,4,4,4,50.0,1.5,7.0,1.0,0.5,7.5,2.0,2.0
335,More than 5 years,20,3,3,4,3,3,50.0,1.5,9.0,1.0,0.0,9.0,1.0,1.0
337,More than 5 years,30,3,4,4,4,4,70.0,1.5,7.0,2.0,0.0,6.0,3.0,3.0
338,More than 5 years,10,2,3,3,5,4,20.0,1.0,7.0,4.0,0.1,7.0,5.0,2.0
339,Between 1 and 5 years,10,4,3,3,4,4,60.0,0.25,8.5,2.0,0.1,10.5,2.5,1.0
340,Between 1 and 5 years,50,3,3,3,3,3,60.0,1.0,8.0,0.0,1.0,4.0,3.0,2.0
341,More than 5 years,40,4,5,5,5,5,30.0,1.0,6.0,8.0,0.25,7.0,8.0,8.0
342,More than 5 years,90,5,5,5,4,4,90.0,1.0,8.0,14.0,0.0,2.0,20.0,2.0
